timestamp,crash_mult,trigger,mode,p1_result,p2_result,round_pnl,session_pnl,cumulative_pnl
2026-05-09 05:30:10,1.23,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:30:26,1.73,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:30:56,5.55,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:31:15,2.16,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:31:40,3.46,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:32:28,23.79,1,watch,-,-,0.00,0.00,-27.00
2026-05-09 05:34:16,258.10,1,bet,win,win,7.00,7.00,-20.00
2026-05-09 05:34:44,5.75,0,watch,-,-,0.00,0.00,-20.00
2026-05-09 05:35:01,1.72,0,watch,-,-,0.00,0.00,-20.00
2026-05-09 08:37:34,27.28,1,watch,-,-,0.00,0.00,0.00
2026-05-09 08:37:47,1.13,0,bet,loss,loss,-2.00,-2.00,-2.00
2026-05-09 08:38:06,2.19,0,bet,loss,loss,-2.00,-4.00,-4.00
2026-05-09 08:38:23,1.76,0,bet,loss,loss,-2.00,-6.00,-6.00
2026-05-09 08:38:42,1.94,0,bet,loss,loss,-2.00,-8.00,-8.00
2026-05-09 08:39:00,1.93,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 08:39:11,1.02,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 08:39:55,17.09,1,watch,-,-,0.00,0.00,-8.00
2026-05-09 08:40:49,40.57,1,bet,win,win,7.00,7.00,-1.00
2026-05-09 08:41:06,1.57,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:41:16,1.00,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:41:30,1.22,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:41:56,4.23,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:42:09,1.21,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:42:26,1.75,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:43:08,13.74,1,watch,-,-,0.00,0.00,-1.00
2026-05-09 08:43:30,2.63,0,bet,loss,loss,-2.00,-2.00,-3.00
2026-05-09 08:43:44,1.33,0,bet,loss,loss,-2.00,-4.00,-5.00
2026-05-09 08:44:27,15.72,1,bet,win,win,7.00,3.00,2.00
2026-05-09 08:44:40,1.11,0,watch,-,-,0.00,0.00,2.00
2026-05-09 08:45:40,58.75,1,watch,-,-,0.00,0.00,2.00
2026-05-09 08:46:33,31.47,1,bet,win,win,7.00,7.00,9.00
2026-05-09 08:46:58,3.64,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:47:09,1.00,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:47:21,1.17,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:47:55,7.11,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:48:15,1.96,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:48:54,11.56,1,watch,-,-,0.00,0.00,9.00
2026-05-09 08:49:09,1.36,0,bet,loss,loss,-2.00,-2.00,7.00
2026-05-09 08:49:36,3.74,0,bet,loss,win,1.00,-1.00,8.00
2026-05-09 08:49:58,2.53,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:50:11,1.04,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:50:30,2.08,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:50:49,2.00,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:51:12,2.70,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:51:23,1.06,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:51:37,1.29,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:51:49,1.14,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:52:11,2.78,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:52:22,1.00,0,watch,-,-,0.00,0.00,8.00
2026-05-09 08:52:59,9.25,1,watch,-,-,0.00,0.00,8.00
2026-05-09 08:53:25,3.79,0,bet,loss,win,1.00,1.00,9.00
2026-05-09 08:53:41,1.53,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:53:53,1.04,0,watch,-,-,0.00,0.00,9.00
2026-05-09 08:54:47,39.57,1,watch,-,-,0.00,0.00,9.00
2026-05-09 08:55:07,1.90,0,bet,loss,loss,-2.00,-2.00,7.00
2026-05-09 08:55:45,10.33,1,bet,win,win,7.00,5.00,14.00
2026-05-09 08:56:21,8.38,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:56:46,3.28,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:57:03,1.52,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:57:27,2.88,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:57:41,1.31,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:57:53,1.02,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:58:04,1.08,0,watch,-,-,0.00,0.00,14.00
2026-05-09 08:58:42,9.44,1,watch,-,-,0.00,0.00,14.00
2026-05-09 08:58:54,1.03,0,bet,loss,loss,-2.00,-2.00,12.00
2026-05-09 08:59:14,2.32,0,bet,loss,loss,-2.00,-4.00,10.00
2026-05-09 08:59:29,1.38,0,bet,loss,loss,-2.00,-6.00,8.00
2026-05-09 08:59:40,1.00,0,bet,loss,loss,-2.00,-8.00,6.00
2026-05-09 09:00:07,4.03,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:00:18,1.01,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:00:39,2.21,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:00:54,1.48,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:01:21,4.06,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:01:36,1.39,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:02:02,3.90,0,watch,-,-,0.00,0.00,6.00
2026-05-09 09:02:16,1.30,0,watch,-,-,0.00,0.00,6.00
